"","translatedText","detectedSourceLanguage","text"
"3398","Jar Admiral Cheese","en","Jar Admiral Cheese"
"3399","Syrup - Maple","en","Syrup - Maple"
"3400","Omelettes, with Mushrooms","en","Omelettes, with Mushrooms"
"3401","Broiled or Fried Calf's Sweetbreads, with Peas","en","Broiled or Fried Calf's Sweetbreads, with Peas"
"3402","Omelettes, with Parsley","en","Omelettes, with Parsley"
"3403","Steak, Sirloin","en","Steak, Sirloin"
"3404","Omelettes, Plain","en","Omelettes, Plain"
"3405","Ruinart (very dry)","en","Ruinart (very dry)"
"3406","Veal Cutlet, Plain","en","Veal Cutlet, Plain"
"3407","Steak, Sirloin, with Onions","en","Steak, Sirloin, with Onions"
"3408","Pepper Roast","en","Pepper Roast"
"3409","Longworth's Sparkling Catawba","en","Longworth's Sparkling Catawba"
"3410","Omelettes, with Tomatoes","en","Omelettes, with Tomatoes"
"3411","Calf's Sweetbreads, Financere","en","Calf's Sweetbreads, Financere"
"3412","EGGS.","en","EGGS."
"3413","Steak, Sirloin, with Tomato Sauce","en","Steak, Sirloin, with Tomato Sauce"
"3414","Steak, Sirloin, with Mushrooms","en","Steak, Sirloin, with Mushrooms"
"3415","Calf's Sweetbreads, Toulouse","en","Calf's Sweetbreads, Toulouse"
"3416","Black Butter","fr","Beurre Noir"
"3417","American Cheese Sandwich","en","American Cheese Sandwich"
"3418","Sparkling Catawba, (Chas. Bottler's)","en","Sparkling Catawba, (Chas. Bottler's)"
"3419","Fancy or Pan Roast","en","Fancy or Pan Roast"
"3420","Sparkling Hock (Mappes')","fy","Sparkling Hock (Mappes')"
"3421","Steak, Sirloin, extra","en","Steak, Sirloin, extra"
"3422","Broiled or Fried Calf's Sweetbreads","en","Broiled or Fried Calf's Sweetbreads"
"3423","Scrambled","en","Scrambled"
"3424","Steamed, in shell","en","Steamed, in shell"
"3425","Steak, Sirloin, extra with Onions","en","Steak, Sirloin, extra with Onions"
"3426","Chicken Patties, a la Reine","fr","Chicken Patties, a la Reine"
"3427","Sparkling Moselle, Muscateller","en","Sparkling Moselle, Muscateller"
"3428","Broiled Spring Chicken, half, whole","en","Broiled Spring Chicken, half, whole"
"3429","Spring Chicken, and Casserole","da","Spring Chicken, en Casserole"
"3430","(Frozen Champagne, 50 cents extra.)","en","(Frozen Champagne, 50 cents extra.)"
"3431","Fried Spring Chicken, Maryland","en","Fried Spring Chicken, Maryland"
"3432","Steak, Sirloin, extra with Mushrooms","en","Steak, Sirloin, extra with Mushrooms"
"3433","Steamed, Washington style","en","Steamed, Washington style"
"3434","Spring Chicken, in Parisian Casserole","fr","Spring Chicken, en Casserole Parisienne"
"3435","Domestic","en","Domestic"
"3436","Spring Chicken, Marengo","en","Spring Chicken, Marengo"
"3437","Chicken Hash, on Toast","en","Chicken Hash, on Toast"
"3438","Steak, Tenderloin","en","Steak, Tenderloin"
"3439","Spring Chicken, Creole","en","Spring Chicken, Creole"
"3440","Imported","en","Imported"
"3441","Sweetbreads Braised, Bearnaise","en","Sweetbreads Braised, Bearnaise"
"3442","Broiled, butter or cream sauce","en","Broiled, butter or cream sauce"
"3443","Extra Sirloin Steak, Bordelaise","en","Extra Sirloin Steak, Bordelaise"
"3444","steak, Tenderloin, with Tomato sauce","en","steak, Tenderloin, with Tomato sauce"
"3445","Chateaubriand","fr","Chateaubriand"
"3446","Escalloped, in shell","en","Escalloped, in shell"
"3447","Steak, Tenderloin, with Mushrooms","en","Steak, Tenderloin, with Mushrooms"
"3448","Extra Sirloin Steak, Bearnaise","en","Extra Sirloin Steak, Bearnaise"
"3449","Fried Spring Chicken, Southern style","en","Fried Spring Chicken, Southern style"
"3450","Steak, Porterhouse","en","Steak, Porterhouse"
"3451","Game and Poultry to Order","en","Game and Poultry to Order"
"3452","Steak, Tenderloin, with Onions","en","Steak, Tenderloin, with Onions"
"3453","Prime Roast Beef","en","Prime Roast Beef"
"3454","Pork shanks and sour cabbage","de","Pork Shanks and Sauer Kraut"
"3455","Chili Sauce","en","Chili Sauce"
"3456","Fried Chicken, a la Maryland, half","en","Fried Chicken, a la Maryland, half"
"3457","Dry stew","en","Dry stew"
"3458","Chicken, oyster sauce","en","Chicken, oyster sauce"
"3459","Steak, Porterhouse, with Mushrooms","en","Steak, Porterhouse, with Mushrooms"
"3460","extra cut","en","extra cut"
"3461","Steak, POrterhouse, extra","en","Steak, POrterhouse, extra"
"3462","Broiled Spring Chicken, half","en","Broiled Spring Chicken, half"
"3463","Otard Dupuy, Three Star Brandy","en","Otard Dupuy, Three Star Brandy"
"3464","Steak, Porterhouse, extra with Mushrooms","en","Steak, Porterhouse, extra with Mushrooms"
"3465","Broiled Fresh Mushrooms","en","Broiled Fresh Mushrooms"
"3466","Short Ribs of Beef, brown potatoes","en","Short Ribs of Beef, brown potatoes"
"3467","Mallard Duck, half","en","Mallard Duck, half"
"3468","Turkey Croquettes, asparagus tips","en","Turkey Croquettes, asparagus tips"
"3469","Fresh strawberries and cream","en","Fresh strawberries and cream"
"3470","Fried oysters in butter, tomato s'ce","en","Fried oysters in butter, tomato s'ce"
"3471","Whole Teal Duck","en","Whole Teal Duck"
"3472","Young Turkey Stuffed, cranberry sauce","en","Young Turkey Stuffed, cranberry sauce"
"3473","Viennese roast roast, lettuce salad","de","Wiener Roastbraten, lettuce salad"
"3474","Curry or Lobster and Bordure","nl","Curry of Lobster en Bordure"
"3475","Consumed a poached egg","fr","Consommé un oeuf poché"
"3476","Banana Ham, Champagne sauce","da","Banana Ham, Champagne sauce"
"3477","Mangoes","en","Mangoes"
"3478","Tartar Sauce","en","Tartar Sauce"
"3479","Oysters a la Newburg, doz.","ig","Oysters a la Newburg, doz."
"3480","Italian Spaghetti and Cheese","fr","Spaghetti and Cheese a l'Italienne"
"3481","Persillade Potatoes","en","Persillade Potatoes"
"3482","Deviled Crabs, sauce Tartare","en","Deviled Crabs, sauce Tartare"
"3483","Larded Sweetbreads with Peas","en","Larded Sweetbreads with Peas"
"3484","Oysters and brochette, doz.","fy","Oysters en brochette, doz."
"3485","Larded Sweetbreads a la Financiere","en","Larded Sweetbreads a la Financiere"
"3486","Club House Sausage, red cabbage","en","Club House Sausage, red cabbage"
"3487","Calf's Liver, broiled or fried","en","Calf's Liver, broiled or fried"
"3488","Broiled live lobster, stuffed","en","Broiled live lobster, stuffed"
"3489","Mutton barley soup","en","Mutton barley soup"
"3490","Ragout of Tenderloin of Beef a la Creole","en","Ragout of Tenderloin of Beef a la Creole"
"3491","Oysters au gratin, doz.","fr","Oysters au gratin, doz."
"3492","Steamed live lobster, stuffed","en","Steamed live lobster, stuffed"
"3493","Mushroom rib","fr","Entre-côte champignon"
"3494","Calf's Liver, broiled or fried with bacon","en","Calf's Liver, broiled or fried with bacon"
"3495","Ham, broiled or fried","en","Ham, broiled or fried"
"3496","Broiled Smithfield Ham","en","Broiled Smithfield Ham"
"3497","Pineapple Pudding, sauce Doree","en","Pineapple Pudding, sauce Doree"
"3498","Bordeaux fillet","fr","Filet bordelaise"
"3499","Cold boiled lobster","en","Cold boiled lobster"
"3500","Oysters Algonguin, dose.","tr","Oysters Algonguin, doz."
"3501","Broiled Spanish Onions","en","Broiled Spanish Onions"
"3502","Bacon broiled or fried","en","Bacon broiled or fried"
"3503","Pot for two","en","Pot for two"
"3504","A veal chop","fr","Une côte de veau"
"3505","Plain Veal Chop","en","Plain Veal Chop"
"3506","Asparagus on Toast","en","Asparagus on Toast"
"3507","Hot Mince Pie, brandy sauce","en","Hot Mince Pie, brandy sauce"
"3508","Milanese Veal Chop","fr","Veal Chop a la Milanaise"
"3509","Calf's head with vinaigrette","fr","Tête de veau à la vinaigrette"
"3510","French coffee in machine","en","French coffee in machine"
"3511","Lobster a la Williams","en","Lobster a la Williams"
"3512","Early June Peas","en","Early June Peas"
"3513","Broiled Kidneys with Bacon","en","Broiled Kidneys with Bacon"
"3514","Calf head in turtle","fr","Tête de veau en tortue"
"3515","chocolate, cup","en","chocolate, cup"
"3516","Lobster, Bordelaise","fr","Lobster, Bordelaise"
"3517","Little Necks, on shell","en","Little Necks, on shell"
"3518","Shrimp Salad","en","Shrimp Salad"
"3519","Chicken Hash, plain","en","Chicken Hash, plain"
"3520","Chicken Hash with Poached Eggs","en","Chicken Hash with Poached Eggs"
"3521","Crab Salad","en","Crab Salad"
"3522","cocoa, cup","en","cocoa, cup"
"3523","Roast Beef Hash","en","Roast Beef Hash"
"3524","Haricot Flageole's","en","Haricot Flageole's"
"3525","Large clams, on shell","en","Large clams, on shell"
"3526","cocoa, pot","ro","cocoa, pot"
"3527","Imported Westphalian Ham","en","Imported Westphalian Ham"
"3528","Lamb Hash","en","Lamb Hash"
"3529","Lobster a la Francaise","fr","Lobster a la Francaise"
"3530","Steamed Little Necks, doz.","en","Steamed Little Necks, doz."
"3531","Lamb Hash with Poached Eggs","en","Lamb Hash with Poached Eggs"
"3532","Devilled Turkey Leg","en","Devilled Turkey Leg"
"3533","Tomato Salad","en","Tomato Salad"
"3534","Curry of lobster","en","Curry of lobster"
"3535","Devilled Roast Beef Bones","en","Devilled Roast Beef Bones"
"3536","Macaroon Tarts","en","Macaroon Tarts"
"3537","Stewed Little Necks, doz.","en","Stewed Little Necks, doz."
"3538","Lobster a la Creole","en","Lobster a la Creole"
"3539","Fresh Vegetable Salad","en","Fresh Vegetable Salad"
"3540","Mixed Salad","en","Mixed Salad"
"3541","Escalloped lobster","en","Escalloped lobster"
"3542","Pie a la Mode","fr","Pie a la Mode"
"3543","Shell roast, Little Necks, doz.","en","Shell roast, Little Necks, doz."
"3544","Watercress Salad","en","Watercress Salad"
"3545","Omelettes","en","Omelettes"
"3546","Sweet potatoes, fried or baked","en","Sweet potatoes, fried or baked"
"3547","Lobster croquettes, shrimp sauce","en","Lobster croquettes, shrimp sauce"
"3548","Omelette nature","en","Omelette nature"
"3549","Lobster cutlets","en","Lobster cutlets"
"3550","Grape Fruit Salad","en","Grape Fruit Salad"
"3551","American Lobster","fr","Lobster a l'Americaine"
"3552","Fancy or Pan Roast, Little Necks","en","Fancy or Pan Roast, Little Necks"
"3553","Stewed lobster","en","Stewed lobster"
"3554","Ham omlette","fr","Omelette au jambon"
"3555","Oneida Asparagus Salad","en","Oneida Asparagus Salad"
"3556","Cheese omelette","fr","Omelette au fromage"
"3557","Deviled crab","en","Deviled crab"
"3558","Pies, all kinds, per cut","en","Pies, all kinds, per cut"
"3559","Steamed soft shell clams, Boston style","en","Steamed soft shell clams, Boston style"
"3560","Crab ravigote","en","Crab ravigote"
"3561","Port Wine Jelly","en","Port Wine Jelly"
"3562","Dressed Cucumbers","en","Dressed Cucumbers"
"3563","Stuffed crab","en","Stuffed crab"
"3564","Artichokes","en","Artichokes"
"3565","Fried soft shell clams","en","Fried soft shell clams"
"3566","Puffed omelette with jams","fr","Omelette soufflée aux confitures"
"3567","Hamburger ale in glee","de","Hamburger ale in glee"
"3568","Cod, Fish Balls","en","Cod, Fish Balls"
"3569","Hard shell crabs","en","Hard shell crabs"
"3570","Omelette au Kirsch","lb","Omelette au Kirsch"
"3571","Virginia Ham","en","Virginia Ham"
"3572","Stewed soft shell clams","en","Stewed soft shell clams"
"3573","Marinirter Herring","en","Marinirter Herring"
"3574","Escalloped crabmeat","en","Escalloped crabmeat"
"3575","Crabmeat a la Maryland","en","Crabmeat a la Maryland"
"3576","Shell roasted soft shell clams","en","Shell roasted soft shell clams"
"3577","Oyster crabs a la Newburg","en","Oyster crabs a la Newburg"
"3578","Oyster crabs sautes","en","Oyster crabs sautes"
"3579","Fancy or Pan roasted soft shell clams","en","Fancy or Pan roasted soft shell clams"
"3580","Stewed oyster crabs","en","Stewed oyster crabs"
"3581","Soft shell clams and brochette","lb","Soft shell clams en brochette"
"3582","Camenbert Cheese","en","Camenbert Cheese"
"3583","Neufchatel Cream","en","Neufchatel Cream"
"3584","Terrapin","en","Terrapin"
"3585","Minced clams","en","Minced clams"
"3586","Smoked Sturgeon","en","Smoked Sturgeon"
"3587","German","en","German"
"3588","Stewed snapper","en","Stewed snapper"
"3589","Hot Toasted Ham or Bacon Sandwich","en","Hot Toasted Ham or Bacon Sandwich"
"3590","Frogs legs, fried","en","Frogs legs, fried"
"3591","Hot Toasted Oyster Sandwich","en","Hot Toasted Oyster Sandwich"
"3592","Game pate","en","Game pate"
"3593","Chicken consumes","fr","Chicken consomme"
"3594","Pabst","en","Pabst"
"3595","Foie Gras Sandwich Pate","fr","Pate de Foie Gras Sandwich"
"3596","Smelts, en aspic","en","Smelts, en aspic"
"3597","Lettuce, with Mayonnaise or French Dressing","en","Lettuce, with Mayonnaise or French Dressing"
"3598","Strained okra in cup","en","Strained okra in cup"
"3599","Lobster Salad and Mayonaise","en","Lobster Salad and Mayonaise"
"3600","Italian Salad","en","Italian Salad"
"3601","Herring","en","Herring"
"3602","Chicken Salad and Mayonaise","en","Chicken Salad and Mayonaise"
"3603","Crab Meat","en","Crab Meat"
"3604","Beef sandwich","en","Beef sandwich"
"3605","Extra Porterhouse Steak, Plain","en","Extra Porterhouse Steak, Plain"
"3606","Fish cakes (2)","en","Fish cakes (2)"
"3607","Potatoes, Sauté","fr","Potatoes, Sautes"
"3608","Bent's Hard Water Crackers","en","Bent's Hard Water Crackers"
"3609","Consomme jelly in cup","en","Consomme jelly in cup"
"3610","Crab","en","Crab"
"3611","Potatoes, Hashed in cream","en","Potatoes, Hashed in cream"
"3612","Small Tenderloin Steak, Plain","en","Small Tenderloin Steak, Plain"
"3613","Shad, broiled","en","Shad, broiled"
"3614","Potatoes, Hashed in cream au gratin","en","Potatoes, Hashed in cream au gratin"
"3615","Chicken consomme jelly in cup","en","Chicken consomme jelly in cup"
"3616","Potatoes, Parisiennes","fr","Potatoes, Parisiennes"
"3617","Tenderloin Steak, Plain","en","Tenderloin Steak, Plain"
"3618","Shad planked, whole","en","Shad planked, whole"
"3619","Split head","fi","Split pea"
"3620","Potatoes, Pont Neuf","fr","Potatoes, Pont Neuf"
"3621","Salmon broiled","en","Salmon broiled"
"3622","Cup of strained chicken okra","en","Cup of strained chicken okra"
"3623","Bordelaise","fr","Bordelaise"
"3624","Clear mock turtle, Francaise","en","Clear mock turtle, Francaise"
"3625","Salmon boiled, Hollandaise","en","Salmon boiled, Hollandaise"
"3626","German Plum Cake","en","German Plum Cake"
"3627","Small cooking pot","fr","Petite marmite"
"3628","Strained okra jelly in cup","en","Strained okra jelly in cup"
"3629","Salmon cold, sauce tartare","en","Salmon cold, sauce tartare"
"3630","Boiled leg of mutton, caper sauce","en","Boiled leg of mutton, caper sauce"
"3631","Peach Cake","en","Peach Cake"
"3632","Escalloped crab meat","en","Escalloped crab meat"
"3633","Chickens' Livers","en","Chickens' Livers"
"3634","Boiled trout, Mousseline","en","Boiled trout, Mousseline"
"3635","Chocolate Eclaire","fr","Chocolate Eclaire"
"3636","Clear green turtle soup","en","Clear green turtle soup"
"3637","Epicure Tart","hu","Epicure Tart"
"3638","Soft Shell crabs, Tartar sauce","en","Soft Shell crabs, Tartar sauce"
"3639","Casserole of Chicken","en","Casserole of Chicken"
"3640","Plain Cake","en","Plain Cake"
"3641","Ox-joint embers, Neapolitan","fr","Ox-joint braisee, napolitaine"
"3642","Clear green turtle in cup","en","Clear green turtle in cup"
"3643","Paupiettes of sole, Mariniere","en","Paupiettes of sole, Mariniere"
"3644","Sheepshead","en","Sheepshead"
"3645","Mixed Cake","en","Mixed Cake"
"3646","Whitefish, broiled","en","Whitefish, broiled"
"3647","Chateaubriand, Parisian","fr","Chateaubriand, Parisienne"
"3648","Spaghetti au Gratin","fr","Spaghetti au Gratin"
"3649","Spaghetti Tomato Gratin","en","Spaghetti Tomato Gratin"
"3650","Sirloin","en","Sirloin"
"3651","Planked shad, whole half","en","Planked shad, whole half"
"3652","Whitefish, planked, whole","en","Whitefish, planked, whole"
"3653","Peach Tartlette","en","Peach Tartlette"
"3654","Extra Large Sirloin","en","Extra Large Sirloin"
"3655","Clam broth, in cup","en","Clam broth, in cup"
"3656","Cheese Cake","en","Cheese Cake"
"3657","Finnan haddie, steamed","mt","Finnan haddie, steamed"
"3658","Lamb Hash with Green Peppers","en","Lamb Hash with Green Peppers"
"3659","Tenderloin of beef, Duchesse","en","Tenderloin of beef, Duchesse"
"3660","Rothe Grutze with Cream","en","Rothe Grutze with Cream"
"3661","Finnan haddie to the Rector","mt","Finnan haddie a la Rector"
"3662","Fried chicken, Maryland","en","Fried chicken, Maryland"
"3663","Cantelope, half","en","Cantelope, half"
"3664","English Mutton Chop (1) with Kidney","en","English Mutton Chop (1) with Kidney"
"3665","Large Porterhouse","en","Large Porterhouse"
"3666","Lamb Chops, Montebello","en","Lamb Chops, Montebello"
"3667","Cantelope, whole","en","Cantelope, whole"
"3668","Chicken liver on a skewer","fr","Chicken liver en brochette"
"3669","Spring Lamb Chops with Peas","en","Spring Lamb Chops with Peas"
"3670","Broiled sweetbread, green peas","en","Broiled sweetbread, green peas"
"3671","Boston Cooler","en","Boston Cooler"
"3672","Sweetbreads embers, Footmuff","fr","Sweetbreads braises, Chanceliere"
"3673","Tripe, special, en casserole","en","Tripe, special, en casserole"
"3674","Lamb Chops (2)","en","Lamb Chops (2)"
"3675","Mousse of reed-birds, Royale","en","Mousse of reed-birds, Royale"
"3676","Peaches and Ice Cream","en","Peaches and Ice Cream"
"3677","Lamb chops, Nelson","en","Lamb chops, Nelson"
"3678","Tripe and oysters","en","Tripe and oysters"
"3679","with mayonnaise","en","with mayonnaise"
"3680","Bisquit Tortoni","en","Bisquit Tortoni"
"3681","Brochette of turkey livers, Perigueux","fr","Brochette of turkey livers, Perigueux"
"3682","Plain","en","Plain"
"3683","Chicken patties a la Reine","fr","Chicken patties a la reine"
"3684","with parsley","en","with parsley"
"3685","Boned Turkey","en","Boned Turkey"
"3686","Pigs feet, broiled","en","Pigs feet, broiled"
"3687","Capucine mouths","fr","Bouchees Capucine"
"3688","with cheese","en","with cheese"
"3689","Roast Chicken stuffed","en","Roast Chicken stuffed"
"3690","Broiled Pigs' Feet","en","Broiled Pigs' Feet"
"3691","Coffee Ice Cream","fr","Coffee Glace"
"3692","Roast ribs of beef","en","Roast ribs of beef"
"3693","Pigs feet, pickled","en","Pigs feet, pickled"
"3694","Baked Sweet Apples","en","Baked Sweet Apples"
"3695","Curry of lobster, indienne","en","Curry of lobster, indienne"
"3696","Spring duckling, whole  half","en","Spring duckling, whole  half"
"3697","spring lamb, mint sauce","en","spring lamb, mint sauce"
"3698","Flounders","en","Flounders"
"3699","Broiled Virginia Ham","en","Broiled Virginia Ham"
"3700","Rail birds","en","Rail birds"
"3701","Spring turkey, whole  half","en","Spring turkey, whole  half"
"3702","spring turkey, whole","en","spring turkey, whole"
"3703","Little Neck, plate","en","Little Neck, plate"
"3704","Cabinet pudding, fruit sauce","en","Cabinet pudding, fruit sauce"
"3705","Filet of bass a la Marguerie","en","Filet of bass a la Marguerie"
"3706","Little Neck Cocktail","en","Little Neck Cocktail"
"3707","Greengage pie","en","Greengage pie"
"3708","Little Neck Clam patties","en","Little Neck Clam patties"
"3709","Calf's head, Chicken","fr","Calf's head, Poulette"
"3710","Meringue custard pie","en","Meringue custard pie"
"3711","Small onions","en","Small onions"
"3712","Smoked Beef with Cream","en","Smoked Beef with Cream"
"3713","Omelet, jam","fr","Omelet, confiture"
"3714","Little Neck fry with bacon","en","Little Neck fry with bacon"
"3715","Cafe special, for tax","it","Cafe special, per tasse"
"3716","Marrow bones","en","Marrow bones"
"3717","Stewed Kidneys","en","Stewed Kidneys"
"3718","Little Neck Stew","en","Little Neck Stew"
"3719","single porterhouse","en","single porterhouse"
"3720","Bisquit Bellevue","en","Bisquit Bellevue"
"3721","Fruit tarts","en","Fruit tarts"
"3722","Sweetbreads, Broiled","en","Sweetbreads, Broiled"
"3723","Little Neck Clam Omelette with bacon","en","Little Neck Clam Omelette with bacon"
"3724","indian pudding","en","indian pudding"
"3725","Cream meringue","ca","Meringue a la creme"
"3726","Whole Plain Lobster large size","en","Whole Plain Lobster large size"
"3727","tea, coffee or milk","en","tea, coffee or milk"
"3728","Orange ice","en","Orange ice"
"3729","Lobster a la Newburgh in Chafing Dish","en","Lobster a la Newburgh in Chafing Dish"
"3730","Casserole of Sweetbreads","en","Casserole of Sweetbreads"
"3731","Whole Live broiled Lobster, butter or Deviled Sauce","en","Whole Live broiled Lobster, butter or Deviled Sauce"
"3732","Baked Alaska","en","Baked Alaska"
"3733","Shrimps with Mushrooms and Tomatoed Bearnaise","en","Shrimps with Mushrooms and Tomatoed Bearnaise"
"3734","Fillet of Beef Saute, Bordelaise","fr","Fillet of Beef Saute, Bordelaise"
"3735","blue points on the shell, half dozen","en","blue points on the shell, half dozen"
"3736","Sweetbread","en","Sweetbread"
"3737","Bavarian Cream","fr","Creme Bavaroise"
"3738","Veal Hash on Toast","en","Veal Hash on Toast"
"3739","Chicken Creole, Half","en","Chicken Creole, Half"
"3740","Vanilla eclair","fr","Vanilla eclair"
"3741","coffee, per cup","en","coffee, per cup"
"3742","Chicken Livers, Skewer","fr","Chicken Livers, Brochette"
"3743","Lady's Mouth","fr","Bouche de Dame"
"3744","Broiled codfish steak","en","Broiled codfish steak"
"3745","Old Virginia Peppers","en","Old Virginia Peppers"
"3746","preserved figs, with cream","en","preserved figs, with cream"
"3747","Chicken, Marengo, Half","en","Chicken, Marengo, Half"
"3748","Consomme with Egg","en","Consomme with Egg"
"3749","Chicken Hash, Maryland","en","Chicken Hash, Maryland"
"3750","Russian way","fr","A la Russe"
"3751","crab meat cocktail","en","crab meat cocktail"
"3752","Fried Black Bass with Bacon","en","Fried Black Bass with Bacon"
"3753","Sweet Mangoes","en","Sweet Mangoes"
"3754","Croquettes, Two Pieces","en","Croquettes, Two Pieces"
"3755","deviled bones","en","deviled bones"
"3756","Steaks, Chops, Etc","en","Steaks, Chops, Etc"
"3757","Half plain lobster, mayonnaise","en","Half plain lobster, mayonnaise"
"3758","victoria","en","victoria"
"3759","Normandy","fr","Normandie"
"3760","Sirloin Steak, Bearnaise","en","Sirloin Steak, Bearnaise"
"3761","New York","en","New York"
"3762","supreme of grape fruit","en","supreme of grape fruit"
"3763","cape cod","ro","cape cod"
"3764","Filet of Beef larded with fresh mushrooms","en","Filet of Beef larded with fresh mushrooms"
"3765","Consumed at the Royal","fr","Consomme a la Royal"
"3766","Saute mutton chop with flageolets","fr","Cotelette de Mouton Saute aux flageolets"
"3767","Vienna schnitzel","de","Vienna schnitzel"
"3768","Lettuce and Tomato Salad","en","Lettuce and Tomato Salad"
"3769","Cold Consume, per cup","fr","Cold Consomme, per cup"
"3770","Madeira Truffles","fr","Truffles au Madere"
"3771","Boiled Salmon, Lobster Sauce, Cucumber Salad","en","Boiled Salmon, Lobster Sauce, Cucumber Salad"
"3772","double porterhouse, extra thick","en","double porterhouse, extra thick"
"3773","Sweetbread jumps to the juice","co","Sweetbread saute au jus"
"3774","Beefsteak ala tartare","en","Beefsteak ala tartare"
"3775","hot cakes and coffee","en","hot cakes and coffee"
"3776","June Gem Peas","en","June Gem Peas"
"3777","Broiled Bluefish, Parsley Butter, Sliced Tomatoes","en","Broiled Bluefish, Parsley Butter, Sliced Tomatoes"
"3778","Sweetbread patties","en","Sweetbread patties"
"3779","Fried Frog Legs, sauce Remoulade, Mixed Salad","en","Fried Frog Legs, sauce Remoulade, Mixed Salad"
"3780","Sweetbreads stewed in cream","en","Sweetbreads stewed in cream"
"3781","Fried Filet de Sole, Tomato Sauce, Lettuce","en","Fried Filet de Sole, Tomato Sauce, Lettuce"
"3782","Sweetbread cutlet","en","Sweetbread cutlet"
"3783","white room","es","salade blanco"
"3784","cafe brule","da","cafe brule"
"3785","Sweetbread in shell","fr","Sweetbread en coquille"
"3786","Broiled Spanish Mackerel, Maitre d'Hotel, Escarol Salad","en","Broiled Spanish Mackerel, Maitre d'Hotel, Escarol Salad"
"3787","Ham, broiled","en","Ham, broiled"
"3788","Sweet Potatoes, Fried or Boiled","en","Sweet Potatoes, Fried or Boiled"
"3789","Calf's head a l'Huile","en","Calf's head a l'Huile"
"3790","cauliflowers","en","cauliflowers"
"3791","Herring Salad","en","Herring Salad"
"3792","Red Cherries","en","Red Cherries"
"3793","Bacon, broiled","en","Bacon, broiled"
"3794","New Salt Pickle","en","New Salt Pickle"
"3795","Broiled Mallard Duck","en","Broiled Mallard Duck"
"3796","Fresh Young Onions","en","Fresh Young Onions"
"3797","Red Currant","en","Red Currant"
"3798","french beans","en","french beans"
"3799","Veal cutlet, broiled","en","Veal cutlet, broiled"
"3800","Watercresses","en","Watercresses"
"3801","Brandy Peaches, each","en","Brandy Peaches, each"
"3802","Veal cutlet breaded, tomato sauce","en","Veal cutlet breaded, tomato sauce"
"3803","Greengages","en","Greengages"
"3804","Planked Whitefish & Saratoga Chips","en","Planked Whitefish & Saratoga Chips"
"3805","york ham","da","york ham"
"3806","Special baked","en","Special baked"
"3807","Bean Salad","en","Bean Salad"
"3808","boar's head","en","boar's head"
"3809","pressed beef","en","pressed beef"
"3810","Fricasse of Lamb & French Peas","en","Fricasse of Lamb & French Peas"
"3811","Canton Ginger","en","Canton Ginger"
"3812","bechamel chicken","en","bechamel chicken"
"3813","Coffee, per pot","ro","Coffee, per pot"
"3814","Mayonaise or Egg extra","en","Mayonaise or Egg extra"
"3815","halibut - hollandaise sauce","fr","halibut - hollandaise sauce"
"3816","New German Mustard Pickles","en","New German Mustard Pickles"
"3817","roast sirloin and ribs of beef","en","roast sirloin and ribs of beef"
"3818","Small Steak & Mushrooms","en","Small Steak & Mushrooms"
"3819","Croquettes","fr","Croquettes"
"3820","roast turkey - cranberry sauce","en","roast turkey - cranberry sauce"
"3821","plum pudding - brandy sauce","en","plum pudding - brandy sauce"
"3822","Figs","en","Figs"
"3823","Boiled Philadelphia Capon & Oyster Sauce","en","Boiled Philadelphia Capon & Oyster Sauce"
"3824","melton mowbray pie","en","melton mowbray pie"
"3825","galantine of game","en","galantine of game"
"3826","Saute or Lyonnaise","fr","Saute or Lyonnaise"
"3827","Sautees","en","Sautees"
"3828","genoese fancies","en","genoese fancies"
"3829","Philadelphia Roast","en","Philadelphia Roast"
"3830","Steamed Corn","en","Steamed Corn"
"3831","Tomatoes Souedoise","fr","Tomates Souedoise"
"3832","Hashed in Cream","en","Hashed in Cream"
"3833","Roast Turkey, compote","en","Roast Turkey, compote"
"3834","Hashed in Cream au Gratin","en","Hashed in Cream au Gratin"
"3835","Oysters has the devil in shells","fr","Oysters a la diable en coquilles"
"3836","Maccaroni, Italian, Plain","fr","Maccaroni, Italienne, Plain"
"3837","Bar la Duc","ro","Bar la Duc"
"3838","Apple Fritters with Rum","en","Apple Fritters with Rum"
"3839","Oysters broiled, with celery sauce","en","Oysters broiled, with celery sauce"
"3840","Oysters broiled, with cream","en","Oysters broiled, with cream"
"3841","Spaghetti, Neapolitan","fr","Spaghetti, Napolitaine"
"3842","Guava","en","Guava"
"3843","Celery and you","lt","Celery au jus"
"3844","HELL FIRE FISHING","fr","PECHE FLAMBEES AU FEU D'ENFER"
"3845","Grapefruit","en","Grapefruit"
"3846","Chocolate or Cocoa with whipped cream","en","Chocolate or Cocoa with whipped cream"
"3847","Spanish peppers sautes","en","Spanish peppers sautes"
"3848","Green peppers farcis","en","Green peppers farcis"
"3849","au gratin onion soup","fr","soupe al oignon gratine"
"3850","English Breakfast Tea, Cup","en","English Breakfast Tea, Cup"
"3851","Roast ribs of prime beef","en","Roast ribs of prime beef"
"3852","Roast spring duckling, apple sauce","en","Roast spring duckling, apple sauce"
"3853","Egplant","cy","Egplant"
"3854","Corn","en","Corn"
"3855","Chicken with watercress","fr","Chicken au cresson"
"3856","Macaroni with cream","en","Macaroni with cream"
"3857","lamb hazelnut with buckshot","fr","noisette d'agneau a la chevrot"
